SPGTable,,,,,,,,,,,,,,,,,,,,
#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND
SP_ENTITY_NAME,SP_ENTITY_ID,SP_EXCHANGE_TICKER,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV
,,,FY0,FY-5,FY-4,FY-3,FY-2,FY-1,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY0,FY-1,FY-2,FY-3,FY-4,FY-5
,,,,,,,,,,,,,,,,,,,,
"Altria Group, Inc. (NYSE:MO)",4087349,NYSE:MO,"25,709,000","29,471,000","28,044,000","26,680,000","26,233,000","24,926,000","15,610,000","15,822,000","16,047,000","16,302,000","12,163,000","11,751,000","20,139,000","20,444,000","20,502,000","20,688,000","21,111,000","20,841,000"
"Amazon.com, Inc. (NASDAQGS:AMZN)",3001792,NASDAQGS:AMZN,"178,547,000","104,740,000","139,757,000","169,938,000","161,574,000","155,401,000","145,731,000","121,388,000","85,515,000","55,269,000","59,312,000","48,079,000","716,924,000","637,959,000","574,785,000","513,983,000","469,822,000","386,064,000"
Amcor plc (NYSE:AMCR),4160328,NYSE:AMCR,"15,400,000","6,784,000","6,847,000","7,153,000","7,406,000","7,393,000","2,037,000","1,869,000","1,974,000","2,089,000","2,000,000","1,733,000","15,009,000","13,640,000","14,694,000","14,544,000","12,861,000","12,468,000"
Ameren Corporation (NYSE:AEE),4007308,NYSE:AEE,"19,906,000","11,576,000","13,612,000","15,095,000","16,506,000","18,794,000","3,719,000","3,260,000","3,141,000","2,978,000","2,621,000","2,476,000","8,470,000","7,324,000","7,213,000","7,662,000","6,119,000","5,540,000"
"American Electric Power Company, Inc. (NASDAQGS:AEP)",4006321,NASDAQGS:AEP,"49,692,000","34,720,600","37,159,600","41,937,500","43,921,500","45,998,000","8,957,000","7,825,000","6,980,000","7,122,700","6,343,900","5,681,700","21,876,000","19,721,000","18,982,000","19,639,500","16,792,000","14,918,500"
American Express Company (NYSE:AXP),102700,NYSE:AXP,"63,909,000","45,418,000","40,960,000","51,605,000","59,982,000","55,500,000",NA,NA,NA,NA,NA,NA,"66,973,000","60,764,000","55,592,000","50,680,000","43,799,000","31,357,000"
"American International Group, Inc. (NYSE:AIG)",103330,NYSE:AIG,"10,047,000","38,534,000","31,363,000","28,279,000","11,500,000","9,790,000","7,920,000","7,825,000","7,443,000","8,859,000","16,958,000","6,857,000","26,611,000","27,027,000","27,834,000","29,721,000","51,808,000","43,337,000"
American Tower Corporation (NYSE:AMT),4290489,NYSE:AMT,"44,963,900","36,711,800","52,008,600","47,051,000","46,307,000","43,954,100","6,907,700","6,608,800","6,414,200","6,075,600","5,888,400","5,048,500","10,644,600","10,127,200","10,012,200","9,645,400","9,356,900","8,041,500"
"American Water Works Company, Inc. (NYSE:AWK)",4004387,NYSE:AWK,"15,929,000","11,025,000","11,065,000","12,455,000","12,445,000","14,124,000","2,789,000","2,534,000","2,240,000","1,999,000","1,910,000","1,901,000","5,140,000","4,684,000","4,234,000","3,792,000","3,930,000","3,777,000"
"Ameriprise Financial, Inc. (NYSE:AMP)",113901,NYSE:AMP,"3,772,000","4,019,000","3,841,000","3,694,000","4,230,000","3,680,000",NA,NA,NA,"5,330,000","4,953,000","2,907,000","18,911,000","17,926,000","16,096,000","14,334,000","13,389,000","11,958,000"
"AMETEK, Inc. (NYSE:AME)",4107063,NYSE:AME,"2,571,508","2,586,846","2,720,695","2,560,600","3,556,838","2,324,474","2,358,421","2,191,689","2,045,095","1,820,119","1,600,782","1,283,159","7,401,116","6,941,180","6,596,950","6,150,530","5,546,514","4,540,029"
Amgen Inc. (NASDAQGS:AMGN),4092820,NASDAQGS:AMGN,"55,435,000","33,445,000","33,979,000","39,640,000","65,423,000","60,879,000","16,617,000","15,157,000","13,755,000","13,358,000","12,549,000","12,929,000","36,751,000","33,424,000","28,190,000","26,323,000","25,979,000","25,424,000"
Amphenol Corporation (NYSE:APH),4122605,NYSE:APH,"16,067,700","4,095,600","5,050,900","4,871,400","4,641,000","7,280,200","6,970,800","3,875,100","3,000,200","2,998,600","2,564,100","1,951,200","23,094,700","15,222,700","12,554,700","12,623,000","10,876,300","8,598,900"
"Analog Devices, Inc. (NASDAQGS:ADI)",4113211,NASDAQGS:ADI,"8,961,064","5,688,103","7,118,233","6,939,532","7,455,540","8,005,242","4,994,371","4,167,704","6,272,047","6,118,232","3,179,095","2,360,503","11,019,707","9,427,157","12,305,539","12,013,953","7,318,286","5,603,056"
Aon plc (NYSE:AON),103317,NYSE:AON,"16,071,000","8,925,000","10,423,000","11,677,000","12,032,000","17,892,000","5,664,000","5,083,000","4,078,000","3,812,000","2,437,000","3,207,000","17,181,000","15,698,000","13,376,000","12,479,000","12,193,000","11,066,000"
APA Corporation (NASDAQGS:APA),4010203,NASDAQGS:APA,"4,810,000","8,888,000","7,609,000","5,620,000","5,304,000","6,162,000","5,146,000","5,616,000","5,103,000","6,606,000","4,388,000","1,943,000","8,685,000","9,463,000","8,093,000","11,032,000","8,025,000","4,393,000"
"Apollo Global Management, Inc. (NYSE:APO)",4204256,NYSE:APO,"42,289,000","14,620,722","13,690,000","20,063,000","24,113,000","32,300,000",NA,NA,NA,NA,NA,NA,"31,793,000","25,888,000","31,944,000","10,844,000","5,813,000","2,221,000"
Apple Inc. (NASDAQGS:AAPL),4004205,NASDAQGS:AAPL,"112,377,000","122,278,000","136,522,000","132,480,000","123,930,000","119,059,000","144,748,000","134,661,000","125,820,000","130,541,000","120,233,000","77,344,000","416,161,000","391,035,000","383,285,000","394,328,000","365,817,000","274,515,000"
"Applied Materials, Inc. (NASDAQGS:AMAT)",4073928,NASDAQGS:AMAT,"7,050,000","5,707,000","5,753,000","5,829,000","5,999,000","6,605,000","8,946,000","8,259,000","8,169,000","8,228,000","7,594,000","4,844,000","28,368,000","27,176,000","26,517,000","25,785,000","23,063,000","17,202,000"
AppLovin Corporation (NASDAQGS:APP),5256437,NASDAQGS:APP,"3,667,394","1,707,422","3,363,718","3,356,349","3,177,416","3,554,610","4,275,018","2,033,104","890,150","524,422","597,736","283,872","5,480,717","3,224,058","1,841,762","2,817,058","2,793,104","1,451,086"
Aptiv PLC (NYSE:APTV),4306801,NYSE:APTV,"8,094,000","4,501,000","4,463,000","6,961,000","6,787,000","8,888,000","3,190,000","3,053,000","2,734,000","2,116,000","1,980,000","1,564,000","20,398,000","19,713,000","20,051,000","17,489,000","15,618,000","13,066,000"
Arch Capital Group Ltd. (NASDAQGS:ACGL),103577,NASDAQGS:ACGL,"2,885,000","3,453,904","2,851,105","2,877,000","2,882,000","2,891,000","5,523,000","4,856,000","3,679,000","1,622,000","2,283,000","1,870,400","19,929,000","17,440,000","13,634,000","9,613,000","9,248,000","8,508,509"
Archer-Daniels-Midland Company (NYSE:ADM),4044801,NYSE:ADM,"9,758,000","11,068,000","10,581,000","10,288,000","9,596,000","11,538,000","2,521,000","3,147,000","5,068,000","5,130,000","3,840,000","2,737,000","80,269,000","85,530,000","93,935,000","101,556,000","85,249,000","64,355,000"
Ares Management Corporation (NYSE:ARES),4438507,NYSE:ARES,"14,222,266","10,904,492","12,495,152","13,334,236","15,755,950","13,147,967","1,241,067","1,142,818","1,073,072","853,951","982,194","354,808","5,601,482","3,884,781","3,631,884","3,055,443","4,212,091","1,764,046"
"Arista Networks, Inc. (NYSE:ANET)",4970981,NYSE:ANET,"90,500","90,170","76,825","63,842","65,519",0,"3,928,700","3,006,600","2,327,900","1,589,806","975,073","739,042","9,005,700","7,003,100","5,860,200","4,381,310","2,948,037","2,317,512"
Arthur J. Gallagher & Co. (NYSE:AJG),103437,NYSE:AJG,"13,624,000","4,930,900","6,605,700","6,415,100","8,322,900","13,485,000","3,479,000","3,010,000","2,189,000","2,116,500","1,903,300","1,526,700","13,009,000","10,928,000","9,559,000","8,270,100","7,973,900","6,781,800"
"Assurant, Inc. (NYSE:AIZ)",4090153,NYSE:AIZ,"2,280,800","2,330,600","2,263,000","2,169,600","2,115,900","2,145,500","1,475,700","1,263,200","1,145,400","702,000","1,088,900","832,400","12,814,300","11,877,500","11,131,600","10,193,000","10,187,600","9,597,600"
AT&T Inc. (NYSE:T),4024242,NYSE:T,"159,560,000","182,984,000","199,225,000","158,226,000","159,281,000","144,456,000","44,243,000","43,954,000","41,925,000","43,398,000","49,707,000","43,610,000","125,648,000","122,336,000","122,428,000","120,741,000","134,038,000","143,050,000"
