SPGTable,,,,,,,,,,,,,,,,,,,,
#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND
SP_ENTITY_NAME,SP_ENTITY_ID,SP_EXCHANGE_TICKER,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV
,,,FY0,FY-5,FY-4,FY-3,FY-2,FY-1,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY0,FY-1,FY-2,FY-3,FY-4,FY-5
,,,,,,,,,,,,,,,,,,,,
"Casey's General Stores, Inc. (NASDAQGS:CASY)",4097130,NASDAQGS:CASY,"2,957,899","1,404,782","1,363,749","1,687,869","1,673,374","1,751,108","1,193,177","1,058,267","943,662","792,848","714,537","647,818","15,940,899","14,862,913","15,094,475","12,952,594","8,707,189","9,175,296"
Caterpillar Inc. (NYSE:CAT),114523,NYSE:CAT,"44,058,000","37,788,000","38,431,000","37,572,000","38,452,000","39,011,000","13,961,000","15,716,000","15,812,000","11,975,000","10,626,000","7,267,000","67,589,000","64,809,000","67,060,000","59,427,000","50,971,000","41,748,000"
"Cboe Global Markets, Inc. (BATS:CBOE)",4253262,BATS:CBOE,"1,590,700","1,348,500","1,444,100","1,871,300","1,610,800","1,599,300","1,633,300","1,307,600","1,200,500","1,124,800","978,900","865,700","4,714,200","4,094,500","3,773,500","3,958,500","3,494,800","3,427,100"
"CBRE Group, Inc. (NYSE:CBRE)",4025774,NYSE:CBRE,"10,227,000","4,214,510","4,308,587","3,584,000","4,934,000","5,859,000","2,222,000","2,140,000","1,880,000","2,030,000","2,092,000","1,627,470","40,550,000","35,767,000","31,949,000","30,828,000","27,746,000","23,826,195"
CDW Corporation (NASDAQGS:CDW),4114659,NASDAQGS:CDW,"6,173,100","4,646,400","7,522,700","6,648,800","6,273,800","6,379,300","1,967,400","1,952,000","1,951,600","2,025,800","1,645,200","1,604,800","22,424,100","20,998,700","21,376,000","23,748,700","20,820,800","18,467,500"
"Cencora, Inc. (NYSE:COR)",4022647,NYSE:COR,"9,331,176","4,597,614","7,805,431","6,725,305","5,894,166","5,622,821","4,755,494","4,097,719","3,418,906","3,449,653","3,180,072","2,438,704","321,332,819","293,958,599","262,173,411","238,587,006","213,988,843","189,893,926"
Centene Corporation (NYSE:CNC),4022661,NYSE:CNC,"18,162,000","18,317,000","22,661,000","21,333,000","18,877,000","19,429,000","2,561,000","6,164,000","6,206,000","5,809,000","5,413,000","5,473,000","176,151,000","147,145,000","141,393,000","135,999,000","118,573,000","104,280,000"
"CenterPoint Energy, Inc. (NYSE:CNP)",4074390,NYSE:CNP,"23,042,000","13,492,000","16,140,000","16,875,000","18,631,000","20,991,000","3,593,000","3,316,000","2,972,000","2,649,000","2,473,000","2,252,000","9,357,000","8,643,000","8,696,000","9,321,000","8,352,000","7,418,000"
"CF Industries Holdings, Inc. (NYSE:CF)",4533245,NYSE:CF,"3,636,000","4,223,000","3,716,000","3,225,000","3,232,000","3,246,000","3,240,000","2,650,000","3,132,000","6,421,000","3,068,000","1,488,000","7,084,000","5,936,000","6,631,000","11,186,000","6,538,000","4,124,000"
"Charles River Laboratories International, Inc. (NYSE:CRL)",4388431,NYSE:CRL,"2,631,465","2,160,054","2,952,598","3,149,002","3,126,859","2,781,082","876,574","870,497","963,015","969,377","899,926","673,999","4,015,382","4,049,989","4,129,409","3,976,060","3,540,160","2,923,933"
"Charter Communications, Inc. (NASDAQGS:CHTR)",4121481,NASDAQGS:CHTR,"98,969,000","84,160,000","93,012,000","98,981,000","99,620,000","97,680,000","22,058,000","21,895,000","20,986,000","21,400,000","20,505,000","18,101,000","54,774,000","55,085,000","54,607,000","54,022,000","51,682,000","48,097,000"
Chevron Corporation (NYSE:CVX),4004170,NYSE:CVX,"46,743,000","48,221,000","34,872,000","27,370,000","26,070,000","29,611,000","37,631,000","39,101,000","42,177,000","57,447,000","33,632,000","13,131,000","184,654,000","195,568,000","194,799,000","235,916,000","155,067,000","94,005,000"
"Chipotle Mexican Grill, Inc. (NYSE:CMG)",4225889,NYSE:CMG,"5,075,814","3,157,052","3,520,314","3,731,410","4,051,625","4,540,618","2,381,942","2,295,392","1,915,577","1,468,368","1,078,891","559,275","11,925,601","11,313,853","9,871,649","8,634,652","7,547,061","5,984,634"
Chubb Limited (NYSE:CB),103417,NYSE:CB,"24,687,000","19,022,000","20,197,000","18,760,000","19,767,000","20,716,000","13,268,000","11,814,000","9,758,000","6,990,000","7,798,000","4,432,000","59,625,000","55,976,000","49,783,000","42,700,000","40,529,000","36,535,000"
"Church & Dwight Co., Inc. (NYSE:CHD)",4438978,NYSE:CHD,"2,382,000","2,357,200","2,775,500","2,847,300","2,605,600","2,405,500","1,382,400","1,392,700","1,287,500","1,203,800","1,186,100","1,105,300","6,203,200","6,107,100","5,867,900","5,375,600","5,190,100","4,895,800"
Ciena Corporation (NYSE:CIEN),4067589,NYSE:CIEN,"1,626,899","856,650","819,612","1,186,306","1,657,165","1,632,253","451,130","324,679","527,033","397,433","618,479","646,174","4,769,507","4,014,955","4,386,549","3,632,661","3,620,684","3,532,157"
Cincinnati Financial Corporation (NASDAQGS:CINF),103262,NASDAQGS:CINF,"886,000","899,000","897,000","891,000","874,000","875,000","3,201,000","3,041,000","2,442,000","(514,000)","3,869,000","1,662,000","12,631,000","11,337,000","10,013,000","6,563,000","9,626,000","7,536,000"
Cintas Corporation (NASDAQGS:CTAS),4008247,NASDAQGS:CTAS,"2,654,481","2,871,117","2,778,094","2,968,442","2,668,393","2,668,080","2,716,809","2,412,503","2,102,708","1,876,171","1,673,157","1,451,669","10,340,181","9,596,615","8,815,769","7,854,459","7,116,340","7,085,120"
"Cisco Systems, Inc. (NASDAQGS:CSCO)",4047857,NASDAQGS:CSCO,"29,643,000","15,585,000","12,694,000","10,571,000","9,452,000","32,243,000","15,378,000","15,282,000","17,219,000","15,901,000","15,496,000","15,822,000","56,654,000","53,803,000","56,998,000","51,557,000","49,818,000","49,301,000"
Citigroup Inc. (NYSE:C),4041896,NYSE:C,"777,180,000","571,782,000","532,264,000","584,138,000","655,836,000","641,871,000",NA,NA,NA,NA,NA,NA,"75,716,000","70,946,000","70,304,000","70,560,000","74,990,000","59,572,000"
"Citizens Financial Group, Inc. (NYSE:CFG)",1019881,NYSE:CFG,"13,103,000","8,717,000","8,003,000","18,865,000","16,511,000","14,577,000",NA,NA,NA,NA,NA,NA,"7,639,000","7,122,000","7,537,000","7,547,000","7,058,000","5,289,000"
CME Group Inc. (NASDAQGS:CME),4054016,NASDAQGS:CME,"3,757,200","4,072,000","4,025,600","3,947,800","3,883,900","3,821,400","4,590,000","4,273,500","3,810,900","3,365,300","2,989,900","3,137,800","6,506,800","6,120,300","5,578,900","5,019,400","4,689,700","4,883,600"
CMS Energy Corporation (NYSE:CMS),4004172,NYSE:CMS,"18,923,000","12,423,000","12,502,000","14,340,000","15,669,000","16,590,000","3,019,000","2,702,000","2,470,000","2,424,000","2,290,000","2,253,000","8,539,000","7,515,000","7,462,000","8,596,000","7,329,000","6,418,000"
Cognizant Technology Solutions Corporation (NASDAQGS:CTSH),4222286,NASDAQGS:CTSH,"1,174,000","1,780,000","1,655,000","1,547,000","1,339,000","1,503,000","3,834,000","3,519,000","3,400,000","3,500,000","3,367,000","2,858,000","21,108,000","19,736,000","19,353,000","19,428,000","18,507,000","16,652,000"
Coherent Corp. (NYSE:COHR),4964205,NYSE:COHR,"3,909,792","2,374,677","1,526,040","2,438,214","4,488,817","4,303,153","1,105,545","682,936","961,668","701,073","672,188","348,061","5,810,115","4,707,688","5,160,100","3,316,616","3,105,891","2,380,071"
"Coinbase Global, Inc. (NASDAQGS:COIN)",12805289,NASDAQGS:COIN,"7,857,989","379,081","3,937,964","3,641,250","3,046,758","4,694,138","1,671,161","2,163,896","(61,269)","(2,560,829)","3,338,940","438,387","6,883,438","6,293,246","2,926,540","3,148,815","7,837,303","1,274,855"
Colgate-Palmolive Company (NYSE:CL),4004173,NYSE:CL,"8,554,000","8,214,000","7,854,000","9,271,000","9,064,000","8,512,000","4,868,000","4,855,000","4,501,000","4,107,000","4,369,000","4,327,000","20,382,000","20,101,000","19,457,000","17,967,000","17,421,000","16,471,000"
Comcast Corporation (NASDAQGS:CMCSA),4057180,NASDAQGS:CMCSA,"105,033,000","113,386,000","107,259,000","106,765,000","103,676,000","105,413,000","36,880,000","38,100,000","37,649,000","36,445,000","34,621,000","30,593,000","123,707,000","123,731,000","121,572,000","121,427,000","116,385,000","103,564,000"
"Comfort Systems USA, Inc. (NYSE:FIX)",4990366,NYSE:FIX,"483,358","332,895","514,781","389,140","256,774","308,600","1,454,574","891,824","490,352","333,611","255,842","249,835","9,101,641","7,027,476","5,206,760","4,140,364","3,073,636","2,856,659"
"Conagra Brands, Inc. (NYSE:CAG)",4101861,NYSE:CAG,"8,310,600","9,997,900","9,225,800","9,224,500","9,461,300","8,647,300","2,070,200","2,339,400","2,227,000","1,997,700","2,309,300","1,845,900","11,612,800","12,050,900","12,277,000","11,535,900","11,184,700","11,054,400"
ConocoPhillips (NYSE:COP),4980342,NYSE:COP,"24,394,000","16,154,000","20,601,000","17,188,000","19,634,000","25,348,000","24,161,000","24,307,000","24,753,000","34,916,000","20,274,000","4,800,000","60,279,000","56,450,000","57,861,000","80,575,000","46,660,000","19,216,000"
"Consolidated Edison, Inc. (NYSE:ED)",4057041,NYSE:ED,"28,379,000","25,185,000","25,420,000","24,415,000","25,010,000","27,825,000","6,022,000","5,438,000","5,107,000","5,034,000","4,720,000","4,371,000","16,918,000","15,256,000","14,663,000","15,670,000","13,676,000","12,246,000"
"Constellation Brands, Inc. (NYSE:STZ)",4276708,NYSE:STZ,"10,568,500","10,982,200","10,954,600","12,960,100","12,557,600","12,113,500","3,388,200","3,957,000","3,616,200","3,355,200","3,388,300","3,247,600","9,139,000","10,208,700","9,961,800","9,452,600","8,820,700","8,614,900"
Constellation Energy Corporation (NASDAQGS:CEG),4072145,NASDAQGS:CEG,"9,497,000","8,119,000","8,973,000","6,478,000","9,911,000","8,995,000","5,632,000","6,972,000","4,155,000","2,921,000","3,807,000","4,306,000","25,533,000","23,568,000","24,918,000","24,440,000","19,649,000","17,603,000"
"Copart, Inc. (NASDAQGS:CPRT)",4988311,NASDAQGS:CPRT,"103,739","518,622","518,069","119,473","120,453","118,733","1,955,514","1,754,323","1,638,869","1,503,797","1,248,826","907,099","4,646,958","4,236,823","3,869,518","3,500,921","2,692,511","2,205,583"
Corning Incorporated (NYSE:GLW),4004201,NYSE:GLW,"9,377,000","8,701,000","7,829,000","7,817,000","8,484,000","8,091,000","3,671,000","2,676,000","2,560,000","3,290,000","3,774,000","2,865,000","15,629,000","13,118,000","12,588,000","14,189,000","14,082,000","11,303,000"
"Corpay, Inc. (NYSE:CPAY)",4256640,NYSE:CPAY,"10,290,412","4,483,574","6,108,568","7,146,226","6,892,477","8,100,238","2,433,011","2,027,953","1,914,756","1,704,551","1,526,752","1,271,546","4,528,403","3,974,589","3,757,719","3,427,129","2,833,736","2,388,855"
"Corteva, Inc. (NYSE:CTVA)",14170965,NYSE:CTVA,"2,995,000","1,634,000","1,576,000","1,757,000","2,975,000","3,179,000","3,799,000","3,179,000","3,214,000","3,314,000","3,878,000","2,388,000","17,401,000","16,908,000","17,226,000","17,455,000","15,655,000","14,217,000"
"CoStar Group, Inc. (NASDAQGS:CSGP)",4094053,NASDAQGS:CSGP,"1,144,000","1,124,692","1,113,582","1,101,300","1,106,400","1,128,000","209,000","152,000","390,000","597,900","571,900","406,146","3,247,000","2,736,000","2,455,000","2,182,400","1,944,100","1,659,019"
Costco Wholesale Corporation (NASDAQGS:COST),4126080,NASDAQGS:COST,"9,935,000","11,086,000","11,407,000","10,906,000","10,536,000","9,949,000","12,809,000","11,522,000","10,582,000","9,811,000","8,573,000","7,080,000","275,235,000","254,453,000","242,290,000","226,954,000","195,929,000","166,761,000"
Coterra Energy Inc. (NYSE:CTRA),4010469,NYSE:CTRA,"4,006,000","1,168,000","3,463,000","2,599,000","2,526,000","3,802,000","4,832,000","3,226,000","3,783,000","6,845,000","2,259,000","687,000","6,991,000","5,244,000","5,684,000","9,514,000","3,670,000","1,405,000"
CRH plc (NYSE:CRH),4213375,NYSE:CRH,"19,705,000","13,863,000","12,172,000","10,955,000","13,139,000","15,564,000","7,500,000","6,727,000","6,123,000","5,405,000","4,862,000","4,288,000","37,447,000","35,572,000","34,949,000","32,723,000","29,206,000","25,888,000"
"CrowdStrike Holdings, Inc. (NASDAQGS:CRWD)",12917530,NASDAQGS:CRWD,"820,077","778,992","774,716","783,618","792,874","788,901","(46,664)","42,756","88,813","(117,802)","(86,138)","(60,271)","4,812,005","3,953,624","3,055,555","2,241,236","1,451,594","874,438"
Crown Castle Inc. (NYSE:CCI),4417219,NYSE:CCI,"29,566,000","25,417,000","27,009,000","27,960,000","28,814,000","29,380,000","2,776,000","2,935,000","2,967,000","4,119,000","3,613,000","3,155,000","4,264,000","4,460,000","4,734,000","6,986,000","6,340,000","5,840,000"
CSX Corporation (NASDAQGS:CSX),4004350,NASDAQGS:CSX,"19,506,000","17,205,000","16,908,000","18,722,000","19,199,000","19,185,000","6,424,000","7,085,000","7,137,000","7,323,000","6,653,000","5,760,000","14,092,000","14,540,000","14,657,000","14,853,000","12,522,000","10,583,000"
Cummins Inc. (NYSE:CMI),4074303,NYSE:CMI,"8,114,000","4,658,000","4,632,000","8,506,000","7,325,000","7,598,000","5,190,000","4,832,000","2,294,000","3,471,000","2,859,000","2,487,000","33,670,000","34,102,000","34,065,000","28,074,000","24,021,000","19,811,000"
CVS Health Corporation (NYSE:CVS),4206348,NYSE:CVS,"79,950,000","85,042,000","75,999,000","70,732,000","79,385,000","82,920,000","14,625,000","12,616,000","18,439,000","19,966,000","18,643,000","18,104,000","399,834,000","370,656,000","356,623,000","321,629,000","290,912,000","267,908,000"
"D.R. Horton, Inc. (NYSE:DHI)",4049266,NYSE:DHI,"6,065,200","4,336,800","5,451,100","6,310,700","5,192,200","6,034,000","4,772,500","6,202,900","6,350,200","7,765,400","5,458,800","3,029,500","34,250,400","36,801,400","35,460,400","33,480,000","27,774,200","20,311,100"
Danaher Corporation (NYSE:DHR),4810677,NYSE:DHR,"19,696,000","22,178,000","23,272,000","20,616,000","19,536,000","17,146,000","7,835,000","7,549,000","7,466,000","9,712,000","9,144,000","6,590,000","24,568,000","23,875,000","23,890,000","26,643,000","24,802,000","22,284,000"
"Darden Restaurants, Inc. (NYSE:DRI)",4297825,NYSE:DRI,"7,813,500","6,009,800","5,757,900","5,905,800","5,966,500","6,784,900","1,909,400","1,763,600","1,560,400","1,508,900","980,800","768,300","12,076,700","11,390,000","10,487,800","9,630,000","7,196,100","7,806,900"
"Datadog, Inc. (NASDAQGS:DDOG)",5222696,NASDAQGS:DDOG,"1,279,005","643,623","807,745","837,521","902,337","1,842,180","7,529","103,575","2,960","(30,816)",(10),734,"3,427,158","2,684,275","2,128,359","1,675,100","1,028,784","603,466"
DaVita Inc. (NYSE:DVA),4189919,NYSE:DVA,"12,874,331","11,193,971","11,975,250","11,822,490","11,116,421","12,066,836","2,751,163","2,678,688","2,346,446","2,045,144","2,451,048","2,314,407","13,643,069","12,815,550","12,140,147","11,609,894","11,618,797","11,550,604"
Deckers Outdoor Corporation (NYSE:DECK),4391531,NYSE:DECK,"276,975","295,716","223,042","222,070","246,488","266,879","1,252,735","994,280","703,426","610,771","562,074","378,084","4,985,612","4,287,763","3,627,286","3,150,339","2,545,641","2,132,689"
Deere & Company (NYSE:DE),114526,NYSE:DE,"64,606,000","46,295,000","48,825,000","53,314,000","64,768,000","66,025,000","8,614,000","11,349,000","15,254,000","11,541,000","9,855,000","6,533,000","45,628,000","51,532,000","61,222,000","52,563,000","43,983,000","35,514,000"
Dell Technologies Inc. (NYSE:DELL),4625099,NYSE:DELL,"32,260,000","40,478,000","27,998,000","30,579,000","26,851,000","25,369,000","11,457,000","9,728,000","8,946,000","9,137,000","9,081,000","8,760,000","113,538,000","95,567,000","88,425,000","102,301,000","101,197,000","86,670,000"
"Delta Air Lines, Inc. (NYSE:DAL)",4004278,NYSE:DAL,"21,374,000","36,648,000","35,779,000","31,710,000","28,381,000","23,871,000","7,772,000","8,000,000","7,279,000","5,752,000","(478,000)","(5,955,000)","63,364,000","61,643,000","58,048,000","50,582,000","29,899,000","17,095,000"
Devon Energy Corporation (NYSE:DVN),4010561,NYSE:DVN,"8,688,000","4,553,000","6,760,000","6,718,000","6,483,000","9,256,000","7,476,000","7,380,000","7,484,000","10,288,000","5,503,000","1,393,000","16,038,000","15,171,000","15,140,000","19,827,000","13,750,000","4,673,000"
"DexCom, Inc. (NASDAQGS:DXCM)",4270258,NASDAQGS:DXCM,"1,396,400","1,839,500","2,157,900","2,145,000","2,594,000","2,587,400","1,163,600","817,700","783,700","547,100","367,800","354,200","4,662,000","4,033,000","3,622,300","2,909,800","2,448,500","1,926,700"
"Diamondback Energy, Inc. (NASDAQGS:FANG)",4337452,NASDAQGS:FANG,"14,516,000","5,815,000","6,715,000","6,441,000","6,804,000","13,099,000","10,206,000","7,735,000","6,077,000","7,338,000","4,376,000","1,824,000","14,295,000","10,561,000","8,339,000","9,566,000","6,747,000","2,756,000"
"Digital Realty Trust, Inc. (NYSE:DLR)",4094311,NYSE:DLR,"20,287,968","14,776,211","14,960,397","18,176,720","19,124,754","18,095,446","2,779,584","2,403,409","2,386,114","2,223,270","2,312,241","1,989,920","6,080,705","5,434,830","5,447,270","4,678,337","4,490,165","3,845,980"
Dollar General Corporation (NYSE:DG),4022058,NYSE:DG,"15,718,656","13,590,442","14,246,336","17,661,099","18,090,766","17,463,385","3,307,086","2,930,377","3,301,793","4,055,279","3,864,591","4,131,702","42,724,369","40,612,308","38,691,609","37,844,863","34,220,449","33,746,839"
"Dollar Tree, Inc. (NASDAQGS:DLTR)",4911259,NASDAQGS:DLTR,"7,055,600","9,639,900","9,970,300","10,126,500","7,368,400","7,830,600","2,311,300","2,041,000","2,185,900","2,466,000","2,531,800","2,579,100","19,411,800","17,578,500","16,781,100","15,411,500","26,321,200","25,509,300"
"Dominion Energy, Inc. (NYSE:D)",4001616,NYSE:D,"50,157,000","37,642,000","41,488,000","42,178,000","45,356,000","43,033,000","8,111,000","7,214,000","7,218,000","5,948,000","5,902,000","6,392,000","16,506,000","14,459,000","14,393,000","13,938,000","11,419,000","14,172,000"
"Domino's Pizza, Inc. (NASDAQGS:DPZ)",4206221,NASDAQGS:DPZ,"5,048,284","4,357,002","5,291,852","5,252,354","5,209,306","5,197,241","1,009,173","934,989","872,108","798,503","829,031","767,680","4,939,994","4,706,416","4,479,358","4,537,158","4,357,373","4,117,411"
"DoorDash, Inc. (NASDAQGS:DASH)",6543878,NASDAQGS:DASH,"3,290,000","617,000","399,000","511,000","522,000","536,000","1,218,000","295,000","(322,000)","(748,000)","(348,000)","(321,000)","13,717,000","10,722,000","8,635,000","6,583,000","4,888,000","2,886,000"
Dover Corporation (NYSE:DOV),4068060,NYSE:DOV,"3,584,452","3,303,002","3,311,192","3,895,418","3,687,797","3,163,099","1,824,442","1,628,806","1,576,157","1,612,908","1,601,027","1,262,904","8,092,571","7,745,909","7,684,476","7,844,174","7,907,081","6,683,760"
Dow Inc. (NYSE:DOW),4209300,NYSE:DOW,"19,602,000","19,226,000","16,275,000","16,706,000","16,469,000","17,672,000","2,703,000","5,071,000","4,538,000","8,718,000","10,904,000","5,437,000","39,968,000","42,964,000","44,622,000","56,902,000","54,968,000","38,542,000"
DTE Energy Company (NYSE:DTE),4057044,NYSE:DTE,"26,290,000","19,607,000","18,251,000","19,240,000","20,970,000","23,241,000","3,617,000","3,320,000","3,382,000","2,798,000","2,542,000","2,499,000","15,814,000","12,457,000","12,745,000","19,228,000","14,964,000","11,423,000"
Duke Energy Corporation (NYSE:DUK),4121470,NYSE:DUK,"91,107,000","64,253,000","68,263,000","74,758,000","80,645,000","85,438,000","16,281,000","14,381,000","13,305,000","12,428,000","11,632,000","10,939,000","31,790,000","29,934,000","28,602,000","28,319,000","24,201,000","22,951,000"
"DuPont de Nemours, Inc. (NYSE:DD)",4873611,NYSE:DD,"3,453,000","16,037,000","11,211,000","8,568,000","8,346,000","7,633,000","1,512,000","1,416,000","1,389,000","3,185,000","3,012,000","2,564,000","6,849,000","6,719,000","6,614,000","13,017,000","12,566,000","11,128,000"
Eaton Corporation plc (NYSE:ETN),4991395,NYSE:ETN,"10,684,000","8,608,000","9,115,000","9,241,000","9,940,000","9,984,000","6,310,000","5,594,000","4,859,000","3,982,000","3,429,000","2,597,000","27,448,000","24,878,000","23,196,000","20,752,000","19,628,000","17,858,000"
eBay Inc. (NASDAQGS:EBAY),4081627,NASDAQGS:EBAY,"7,182,000","8,217,000","9,432,000","9,420,000","8,228,000","7,863,000","2,714,000","2,586,000","2,344,000","2,792,000","3,460,000","3,226,000","11,100,000","10,283,000","10,112,000","9,795,000","10,420,000","8,894,000"
EchoStar Corporation (NASDAQGS:SATS),4190757,NASDAQGS:SATS,"30,962,466","2,523,630","1,647,795","25,915,749","26,202,622","30,343,266","1,494,414","1,626,123","2,081,113","3,408,444","4,517,924","615,389","15,004,989","15,825,516","17,015,598","18,634,246","19,818,678","1,887,907"
Ecolab Inc. (NYSE:ECL),4051243,NYSE:ECL,"8,997,500","7,112,700","9,155,900","9,026,500","8,733,400","8,282,700","3,928,000","3,605,500","3,109,700","2,786,700","2,709,300","2,496,800","16,081,200","15,741,400","15,320,200","14,187,800","12,733,100","11,790,200"
Edison International (NYSE:EIX),4056943,NYSE:EIX,"41,549,000","24,147,000","29,533,000","33,096,000","35,311,000","37,761,000","8,247,000","6,322,000","5,885,000","5,484,000","5,147,000","4,543,000","19,317,000","17,599,000","16,338,000","17,220,000","14,905,000","13,578,000"
Edwards Lifesciences Corporation (NYSE:EW),4812781,NYSE:EW,"705,400","694,900","690,300","691,300","685,100","700,000","1,794,500","1,623,900","1,609,400","1,681,400","1,721,300","1,423,400","6,067,600","5,439,500","5,010,000","4,464,000","5,232,500","4,386,300"
Electronic Arts Inc. (NASDAQGS:EA),4100183,NASDAQGS:EA,"2,218,000","1,220,000","2,154,000","2,231,000","2,223,000","2,196,000","1,938,000","1,982,000","1,910,000","1,612,000","1,225,000","1,598,000","7,463,000","7,562,000","7,426,000","6,991,000","5,629,000","5,537,000"
"Elevance Health, Inc. (NYSE:ELV)",4072364,NYSE:ELV,"32,750,000","20,992,000","24,028,000","25,046,000","25,969,000","32,193,000","9,040,000","10,522,000","10,949,000","9,538,000","9,844,000","9,002,000","199,126,000","176,810,000","171,340,000","156,599,000","138,643,000","121,868,000"
Eli Lilly and Company (NYSE:LLY),4059821,NYSE:LLY,"43,865,000","16,885,800","16,926,500","16,372,900","26,464,700","34,791,000","31,693,000","18,807,000","11,852,000","10,175,800","9,820,300","8,534,700","65,179,000","45,043,000","34,124,000","28,541,400","28,318,400","24,539,800"
"EMCOR Group, Inc. (NYSE:EME)",4279452,NYSE:EME,"474,557","535,523","540,335","535,174","339,969","348,917","1,764,573","1,479,437","995,952","677,799","646,861","601,449","16,986,422","14,566,116","12,582,873","11,076,120","9,903,580","8,797,061"
Emerson Electric Co. (NYSE:EMR),4136907,NYSE:EMR,"13,759,000","8,007,000","7,233,000","10,814,000","8,705,000","8,356,000","5,843,000","5,571,000","4,206,000","3,222,000","2,694,000","3,577,000","18,016,000","17,492,000","15,165,000","13,804,000","12,932,000","16,785,000"
Entergy Corporation (NYSE:ETR),4007889,NYSE:ETR,"31,328,863","24,291,973","27,366,186","27,020,321","26,542,369","29,313,872","5,579,091","5,048,772","4,734,753","3,868,953","4,000,283","3,609,040","12,946,686","11,879,653","12,147,412","13,764,237","11,742,896","10,113,636"
"EOG Resources, Inc. (NYSE:EOG)",4075407,NYSE:EOG,"9,135,000","6,752,000","5,907,000","5,958,000","4,800,000","5,792,000","11,724,000","12,565,000","13,202,000","13,791,000","10,103,000","5,003,000","22,654,000","23,478,000","23,273,000","29,610,000","19,777,000","9,934,000"
"EPAM Systems, Inc. (NYSE:EPAM)",4309704,NYSE:EPAM,"143,704","266,401","239,158","193,223","171,945","163,254","707,230","692,928","652,478","799,052","628,203","441,130","5,457,056","4,727,940","4,690,540","4,824,698","3,758,144","2,659,478"
EQT Corporation (NYSE:EQT),4004341,NYSE:EQT,"7,915,794","4,975,366","5,643,772","5,726,965","5,853,690","9,424,709","6,091,043","2,506,660","4,239,024","4,596,698","701,218","1,035,835","8,180,719","5,041,956","5,069,982","12,140,621","6,839,705","2,612,253"
Equifax Inc. (NYSE:EFX),4040823,NYSE:EFX,"5,242,200","4,378,400","5,294,900","5,787,300","5,711,200","5,010,500","1,868,600","1,757,400","1,586,300","1,658,900","1,627,800","1,092,100","6,074,500","5,681,100","5,265,200","5,122,200","4,923,900","4,127,500"
"Equinix, Inc. (NASDAQGS:EQIX)",4570011,NASDAQGS:EQIX,"22,726,000","13,923,339","14,992,526","16,469,554","17,454,000","18,961,000","4,072,000","3,621,000","3,301,000","2,773,000","2,407,139","2,168,616","9,260,000","8,737,000","8,197,000","7,117,000","6,259,782","5,622,593"
Equity Residential (NYSE:EQR),103054,NYSE:EQR,"8,479,585","8,373,386","8,653,788","7,734,470","7,702,090","8,426,642","1,882,164","1,825,835","1,768,536","1,695,280","1,458,545","1,606,944","3,093,959","2,980,108","2,873,964","2,735,180","2,463,997","2,571,705"
Erie Indemnity Company (NASDAQGS:ERIE),103619,NASDAQGS:ERIE,"61,936","95,864","93,832",0,0,"7,513","808,993","766,338","600,232","428,410","351,224","357,717","4,067,258","3,795,115","3,268,940","2,840,124","2,633,977","2,536,489"
"Essex Property Trust, Inc. (NYSE:ESS)",103163,NYSE:ESS,"6,851,756","6,327,972","6,358,085","6,026,880","6,270,826","6,654,090","1,255,432","1,159,664","1,118,236","1,066,162","1,018,789","1,020,308","1,935,443","1,826,382","1,713,656","1,632,844","1,552,277","1,562,260"
"Everest Group, Ltd. (NYSE:EG)",4050636,NYSE:EG,"3,785,000","2,075,684","3,247,000","3,231,000","3,529,000","3,713,000",NA,NA,NA,NA,NA,NA,"17,541,000","17,160,000","14,601,000","12,161,000","11,827,700","9,584,700"
"Evergy, Inc. (NASDAQGS:EVRG)",8603803,NASDAQGS:EVRG,"15,393,200","10,321,100","11,165,500","12,036,100","13,147,100","14,069,500","2,741,400","2,621,900","2,370,100","2,224,100","2,247,100","2,023,700","5,961,600","5,847,300","5,508,200","5,859,100","5,586,700","4,913,400"
Eversource Energy (NYSE:ES),4057052,NYSE:ES,"30,243,998","18,086,309","20,325,536","23,054,925","26,880,577","29,238,652","4,696,467","3,957,612","3,838,075","3,612,200","3,180,729","3,014,514","13,547,244","11,900,809","11,910,705","12,289,336","9,863,085","8,904,430"
Exelon Corporation (NASDAQGS:EXC),4057056,NASDAQGS:EXC,"50,249,000","40,635,000","34,855,000","40,363,000","44,340,000","46,905,000","8,142,000","7,189,000","6,781,000","6,243,000","9,752,000","8,170,000","24,258,000","23,028,000","21,727,000","19,078,000","17,938,000","16,663,000"
